batter,des,x,y,pitcher,type,team,inning,first,last,bats,team_abbrev,full.name
488726,Out,139.56,163.65,547888,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,94.38,131.53,502593,H,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,124.5,113.45,521055,H,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,114.46,64.26,506433,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,118.47,59.24,592767,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,78.31,129.52,456034,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,139.56,153.61,606273,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,167.67,98.39,136600,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,108.43,154.62,543243,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,118.47,156.63,543507,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,129.52,163.65,605232,H,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,99.4,158.63,592781,O,A,13,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,115.46,151.61,451584,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,146.59,117.47,461856,H,A,13,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,142.57,150.6,454537,O,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,138.55,157.63,592767,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,172.69,107.43,465657,H,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,143.57,164.66,456051,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,38.15,108.43,452657,H,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Error,130.52,156.63,461872,E,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,146.59,155.62,518961,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,53.21,121.49,432934,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,172.69,128.51,571800,H,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,55.22,125.5,450308,H,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,121.49,95.38,285079,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,60.24,128.51,433579,H,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,127.51,64.26,279824,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,111.45,82.33,434378,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,70.28,127.51,457435,H,H,13,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,172.69,121.49,434378,H,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,143.57,166.67,519242,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,87.35,92.37,429781,H,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,134.54,97.39,451584,H,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,150.6,164.66,453311,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,155.62,61.24,434378,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,103.41,170.68,506433,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,133.53,149.6,570649,O,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,150.6,65.26,432934,O,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,85.34,76.31,453198,O,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,129.52,112.45,570649,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,145.58,160.64,433579,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,147.59,175.7,518633,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,125.5,146.59,433579,O,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,108.43,159.64,547943,O,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,53.21,81.33,542960,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,154.62,164.66,501529,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,173.69,113.45,434378,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,152.61,164.66,501925,O,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,149.6,170.68,445060,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,67.27,126.51,453286,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,180.72,55.22,425532,H,H,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,140.56,154.62,433579,O,H,2,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,86.35,91.37,346797,H,A,9,Michael,Brantley,L,CLE,Michael Brantley
488726,Error,192.27,161.47,607374,E,A,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,177.71,105.42,457744,H,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,142.57,158.63,469134,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,183.73,67.27,502272,H,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,146.59,165.66,275933,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,94.38,116.47,456051,O,A,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,126.51,179.72,460059,O,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,193.78,125.5,519008,H,A,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,154.62,119.48,573064,H,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,87.35,94.38,519085,H,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,136.55,157.63,502042,O,H,7,Michael,Brantley,L,CLE,Michael Brantley
488726,Single,164.66,181.73,572888,H,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,152.61,167.67,516589,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,177.71,125.5,461833,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,147.59,173.69,573064,O,H,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,98.39,99.4,136600,O,A,4,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,171.69,55.22,468504,H,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,123.49,155.62,444857,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Double,164.66,55.22,543507,H,A,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,148.59,159.64,429717,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,149.6,167.67,450306,O,H,3,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,124.5,113.45,592527,O,H,6,Michael,Brantley,L,CLE,Michael Brantley
488726,Home Run,205.82,61.24,429781,H,H,5,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,72.29,108.43,456379,O,A,8,Michael,Brantley,L,CLE,Michael Brantley
488726,Out,148.59,46.18,450306,O,A,1,Michael,Brantley,L,CLE,Michael Brantley
