"","id","full_name"
"768",454573,"Cole Armstrong"
"769",473560,"Lance Broadway"
"770",279824,"Mark Buehrle"
"771",111851,"Orlando Cabrera"
"772",425747,"Jose Contreras"
"773",150317,"Joe Crede"
"774",433579,"John Danks"
"775",457440,"Dewon Day"
"776",136734,"Octavio Dotel"
"777",113679,"Jermaine Dye"
"778",455090,"Jack Egbert"
"779",435222,"Josh Fields"
"780",425856,"Gavin Floyd"
"781",446624,"Charlie Haeger"
"782",150134,"Toby Hall"
"783",449173,"Lucas Harrell"
"784",408057,"Bobby Jenks"
"785",117244,"Paul Konerko"
"786",276530,"Scott Linebrink"
"787",457429,"Boone Logan"
"788",455113,"Donny Lucy"
"789",213680,"Mike MacDougal"
"790",434665,"Nick Masset"
"791",435539,"Jerry Owens"
"792",150367,"Pablo Ozuna"
"793",470358,"Oneli Perez"
"794",150229,"A.J. Pierzynski"
"795",435041,"Carlos Quentin"
"796",493351,"Alexei Ramirez"
"797",462950,"Danny Richar"
"798",452240,"Adam Russell"
"799",434878,"Andrew Sisco"
"800",430897,"Nick Swisher"
"801",123272,"Jim Thome"
"802",407819,"Matt Thornton"
"803",346874,"Juan Uribe"
"804",430595,"Carlos Vasquez"
"805",134320,"Javier Vazquez"
"806",469164,"Ehren Wassermann"
"807",430652,"Jason Bourgeois"
"808",425647,"D.J. Carrasco"
"809",434660,"Brad Eldred"
"810",460051,"Chris Getz"
"811",435598,"Royce Huffman"
"812",150325,"Jeff Liefer"
"813",434598,"Miguel Negron"
"814",219594,"Tomo Ohka"
"815",150207,"Paul Phillips"
"816",425452,"Mike Rouse"
"817",435731,"Ryan Smith"
"818",115210,"Mark Grudzielanek"
"819",115229,"Jose Guillen"
"820",119827,"Hideo Nomo"
"821",132360,"Damon Hollins"
"822",219194,"Gil Meche"
"823",340393,"Ross Gload"
"824",346873,"Luke Hudson"
"825",400077,"Mike Maroth"
"826",400147,"Brian Lawrence"
"827",425471,"Jimmy Gobble"
"828",408311,"Justin Huber"
"829",408043,"Mike Stodolka"
"830",407908,"Joel Peralta"
"831",407833,"John Buck"
"832",407822,"Jorge De La Rosa"
"833",407796,"John Foster"
"834",407556,"Angel Berroa"
"835",407397,"Esteban German"
"836",444418,"Matt Wright"
"837",434678,"Kyle Davies"
"839",434626,"Ryan Shealy"
"840",434441,"Roberto Giron"
"841",433597,"Mark Teahen"
"842",431157,"Joey Gathright"
"843",431149,"Matt Peterson"
"844",430948,"Alberto Callaspo"
"845",461377,"Neal Musser"
"846",461334,"Ryan Braun"
"847",460349,"Carlos Rosa"
"848",460274,"Tyler Lumsden"
"849",460086,"Alex Gordon"
"850",460024,"Luke Hochevar"
"851",456714,"Billy Butler"
"852",455957,"Chris Lubanski"
"853",454977,"Mario Lisson"
"854",451537,"Damaso Espino"
"855",450217,"Adam Donachie"
"856",449107,"Mike Aviles"
"857",447816,"Angel Sanchez"
"858",446454,"Brian Bannister"
"859",445584,"Matt Tupman"
"860",444567,"Kiel Thibault"
"861",493161,"Yasuhiko Yabuta"
